net,length_um
net37,119.42µm
clknet_2_0__leaf_clk,73.86µm
clknet_2_3__leaf_clk,70.08µm
clknet_0_clk,63.02µm
_062_,62.6µm
clknet_2_1__leaf_clk,62.24µm
clknet_2_2__leaf_clk,58.02µm
net32,55.42µm
_045_,53.9µm
net36,53.86µm
net33,50.96µm
_032_,49.02µm
net17,48.8µm
net35,46.36µm
_070_,43.76µm
clk,43.17µm
net34,42.26µm
net18,39.06µm
net26,35.58µm
_078_,34.3µm
net31,33.68µm
net28,33.38µm
net25,31.96µm
_049_,31.77µm
_040_,31.12µm
net9,30.42µm
net19,29.72µm
net22,29.16µm
net30,29.08µm
_053_,26.855µm
_061_,26.26µm
net14,24.84µm
net21,24.54µm
net15,22.64µm
net8,21.28µm
_067_,21.26µm
net2,20.78µm
_036_,20.32µm
net7,20.22µm
net64,20.15µm
net4,19.8µm
net91,18.51µm
_056_,18.02µm
net5,17.9µm
net89,17.79µm
net10,17.54µm
net113,17.32µm
net52,17.165µm
pc_out[26],16.425µm
net16,16.4µm
net27,16.18µm
net84,16.11µm
net20,16.06µm
_077_,15.9µm
net99,15.73µm
pc_out[14],15.66µm
net92,15.145µm
net78,15.125µm
net56,15.105µm
net97,15.05µm
net6,15.02µm
_057_,14.96µm
pc_out[28],14.84µm
pc_out[3],14.84µm
_072_,14.82µm
net3,14.76µm
net29,14.54µm
_060_,14.5µm
net,14.37µm
pc_out[16],14.36µm
_044_,13.5µm
pc_out[19],13.48µm
_082_,13.36µm
net71,13.085µm
net39,13.065µm
net47,13.065µm
net81,13.065µm
net100,13.045µm
_075_,13.04µm
net77,13.04µm
pc_out[31],13.04µm
net127,13.04µm
net73,13.03µm
pc_out[23],13.025µm
net12,12.92µm
_030_,12.66µm
net49,12.625µm
net135,12.62µm
pc_out[27],12.58µm
net133,12.54µm
net76,12.37µm
net126,12.2µm
pc_out[29],12.12µm
pc_out[2],12.12µm
pc_out[30],12.12µm
_066_,12µm
_080_,11.98µm
pc_out[17],11.945µm
net13,11.88µm
pc_out[20],11.665µm
pc_out[22],11.665µm
pc_out[24],11.665µm
pc_out[25],11.665µm
pc_out[12],11.64µm
pc_out[13],11.64µm
pc_out[18],11.64µm
pc_out[9],11.61µm
net125,11.4µm
net44,11.33µm
pc_out[15],11.18µm
net68,11.17µm
_079_,11.1µm
net90,11.025µm
_059_,11µm
net80,10.95µm
net11,10.84µm
_074_,10.76µm
_023_,10.735µm
net42,10.63µm
net83,10.61µm
net85,10.61µm
net62,10.585µm
net72,10.585µm
_038_,10.36µm
_001_,10.325µm
net86,10.305µm
pc_out[21],10.305µm
net87,10.27µm
net40,10.25µm
net41,10.25µm
net88,10.25µm
_083_,10.12µm
_008_,10.025µm
net98,9.95µm
_076_,9.94µm
net93,9.91µm
_000_,9.765µm
net48,9.625µm
net82,9.625µm
net65,9.59µm
net101,9.59µm
net55,9.57µm
net67,9.57µm
net106,9.44µm
net51,9.25µm
net57,9.25µm
_037_,9.24µm
net102,9.23µm
net134,9.02µm
net58,8.965µm
net63,8.965µm
net66,8.965µm
net46,8.965µm
net70,8.965µm
net94,8.965µm
_027_,8.945µm
net38,8.945µm
net50,8.945µm
net54,8.945µm
net60,8.945µm
net43,8.945µm
net95,8.945µm
net74,8.91µm
net59,8.89µm
net96,8.89µm
rst,8.89µm
pc_out[10],8.89µm
pc_out[6],8.89µm
pc_out[7],8.89µm
pc_out[8],8.89µm
net61,8.57µm
net1,8.56µm
_018_,8.485µm
net53,8.285µm
net45,8.285µm
net79,8.285µm
net69,8.265µm
pc_out[5],8.21µm
net114,8.2µm
net24,7.82µm
_042_,7.6µm
_003_,7.565µm
pc_out[11],7.53µm
pc_out[4],7.53µm
_069_,7.4µm
_017_,7.205µm
net120,7.18µm
_039_,7.14µm
net132,7.1µm
net23,6.94µm
net75,6.905µm
_052_,6.76µm
net121,6.76µm
_073_,6.52µm
_005_,6.235µm
_010_,6.16µm
_031_,6.14µm
_013_,5.915µm
_014_,5.865µm
_035_,5.74µm
net107,5.72µm
_055_,5.68µm
_068_,5.68µm
net103,5.38µm
net129,5.36µm
net109,5.34µm
_012_,5.245µm
_050_,5.22µm
_058_,5.22µm
_004_,5.215µm
net104,5.06µm
net119,4.88µm
_081_,4.8µm
_011_,4.7µm
_048_,4.68µm
net128,4.68µm
_026_,4.585µm
_043_,4.46µm
net118,4.42µm
_019_,4.38µm
_047_,4.34µm
net124,4.22µm
net110,4.02µm
net137,4µm
_024_,3.925µm
_046_,3.88µm
_063_,3.88µm
net108,3.88µm
_009_,3.855µm
_020_,3.705µm
_071_,3.68µm
net131,3.54µm
_029_,3.505µm
_041_,3.42µm
net136,3.42µm
_033_,3.3µm
net116,3.08µm
_007_,3.005µm
_015_,2.98µm
_022_,2.98µm
net117,2.76µm
_016_,2.715µm
_065_,2.64µm
_006_,2.585µm
_064_,2.5µm
_025_,2.375µm
net105,2.3µm
_034_,2.16µm
_054_,2.16µm
_021_,1.915µm
_002_,1.865µm
_028_,1.865µm
net130,1.84µm
_051_,1.7µm
net115,1.7µm
net111,0.46µm
net112,0.46µm
net122,0.46µm
net123,0.46µm
